entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.01.05 02:18,957,32,3,buy,4380.36,4374.95,248.86,626.00,2.515,tp 4393.89,0.819
2026.01.06 02:16,518,28,1,buy,4442.13,4439.09,264.48,-142.00,-0.537,sl 4440.61,0.757
2026.01.08 02:16,336,25,1,buy,4466.12,4464.13,220.89,-228.94,-1.036,sl 4464.13,0.935
2026.01.12 02:17,1797,36,2,buy,4556.79,4545.29,253.00,631.09,2.494,tp 4585.54,0.962
2026.01.13 02:23,739,35,8,sell,4591.84,4595.67,271.93,697.63,2.565,tp 4582.27,0.873
2026.01.14 02:27,1078,35,12,buy,4609.56,4602.28,291.20,383.02,1.315,,0.766
2026.01.19 02:17,1083,30,2,sell,4664.67,4670.52,298.35,-306.79,-1.028,sl 4670.52,0.969
2026.01.20 02:18,367,25,3,buy,4667.89,4666.02,220.66,-235.45,-1.067,sl 4666.02,1.000
2026.01.21 02:28,692,36,13,buy,4779.53,4774.14,285.67,717.78,2.513,tp 4793.01,0.840
2026.02.02 02:16,10523,49,1,buy,4854.88,4793.34,307.70,-312.14,-1.014,sl 4793.34,0.996
2026.02.03 02:16,3021,63,1,buy,4797.87,4781.06,302.58,-163.74,-0.541,sl 4789.46,0.691
2026.02.04 02:16,4125,63,1,buy,4988.66,4966.86,283.40,721.11,2.544,tp 5043.16,0.980
2026.02.11 02:17,1364,60,2,sell,5029.29,5037.54,313.50,-324.16,-1.034,sl 5037.54,0.756
2026.02.17 02:26,1569,46,11,sell,4974.18,4983.33,301.95,755.06,2.501,tp 4951.31,0.765
2026.02.18 02:25,1112,35,10,buy,4870.27,4863.82,322.50,812.59,2.520,tp 4886.40,0.531
2026.02.23 02:20,3396,43,5,sell,5131.23,5149.53,347.70,-354.19,-1.019,sl 5149.53,0.828
2026.02.24 02:22,1728,52,7,buy,5237.49,5226.88,328.91,-333.35,-1.013,sl 5226.88,0.666
2026.02.26 02:16,1386,58,1,buy,5171.22,5162.25,322.92,805.23,2.494,tp 5193.65,0.870
2026.03.02 02:19,2347,96,4,sell,5360.62,5375.84,350.06,-177.21,-0.506,sl 5368.23,0.502
2026.03.03 02:17,1255,97,2,buy,5352.78,5342.90,335.92,-203.48,-0.606,sl 5347.84,0.916
2026.03.05 02:17,1330,63,2,buy,5173.24,5165.87,331.65,-172.01,-0.519,sl 5169.55,0.881
2026.03.11 03:19,1143,68,4,buy,5202.93,5192.32,328.91,396.71,1.206,,0.514
2026.03.12 03:16,1654,66,1,buy,5143.61,5133.73,335.92,843.81,2.512,tp 5168.31,0.791
2026.03.17 03:28,1182,68,13,sell,5001.30,5008.01,362.34,-188.46,-0.520,sl 5004.65,0.643
2026.03.23 03:16,4787,68,1,sell,4415.17,4449.12,339.50,848.89,2.500,tp 4330.30,0.767
2026.03.24 03:16,2596,68,1,sell,4418.43,4433.34,372.75,930.96,2.498,tp 4381.16,0.939
2026.03.25 03:28,1752,64,13,buy,4557.19,4545.99,403.20,1014.33,2.516,tp 4585.19,0.740
2026.03.26 03:16,2961,68,1,buy,4528.83,4512.79,433.08,54.44,0.126,,0.996
2026.03.31 03:16,1758,68,1,sell,4510.07,4519.22,430.05,1133.97,2.637,tp 4487.20,0.688
2026.04.01 03:16,1157,64,1,buy,4705.60,4699.10,455.00,1164.38,2.559,tp 4721.85,0.862
2026.04.02 03:16,1819,58,1,buy,4794.97,4784.09,489.60,-498.02,-1.017,sl 4784.09,0.959
2026.04.06 03:16,1890,56,1,buy,4628.89,4616.87,468.78,-493.14,-1.052,sl 4616.87,0.977
2026.04.08 03:21,2684,59,6,sell,4828.16,4843.80,453.56,1141.52,2.517,tp 4789.06,0.830
2026.04.13 03:16,856,60,1,buy,4675.19,4668.80,485.64,1217.85,2.508,tp 4691.17,0.897
2026.04.14 03:16,889,60,1,buy,4763.62,4755.88,518.58,-277.82,-0.536,sl 4759.75,0.911
2026.04.15 03:18,831,60,3,sell,4829.40,4835.67,514.14,-519.69,-1.011,sl 4835.67,0.733
2026.04.20 03:16,1047,61,1,buy,4756.39,4749.79,501.60,1275.53,2.543,tp 4772.89,0.710
2026.04.23 03:16,2961,62,1,sell,4696.08,4713.23,531.65,-534.00,-1.004,sl 4713.23,0.977
2026.04.27 03:29,896,55,14,buy,4682.37,4676.48,518.32,1296.63,2.502,tp 4697.10,0.862
2026.05.11 03:17,1111,55,2,sell,4679.70,4685.86,548.24,-284.41,-0.519,sl 4682.78,0.803
2026.05.12 03:18,1072,55,3,buy,4773.29,4763.77,542.64,-548.15,-1.010,sl 4763.77,0.784
2026.05.14 03:16,988,55,1,buy,4699.94,4694.25,529.17,-272.10,-0.514,sl 4697.09,0.818
2026.05.18 03:25,1957,51,10,sell,4517.29,4532.71,524.28,-266.00,-0.507,sl 4525.00,0.834
2026.05.19 03:25,1237,52,10,sell,4574.61,4582.94,516.46,405.23,0.785,,0.845
2026.05.20 03:25,1084,49,10,buy,4491.64,4485.05,527.20,1364.56,2.588,tp 4508.12,0.814
2026.05.21 03:16,845,50,1,buy,4550.52,4544.18,557.92,-599.60,-1.075,sl 4544.18,0.572
2026.05.26 03:19,1130,67,4,sell,4542.23,4554.15,548.32,383.02,0.699,,0.675
2026.06.02 03:22,847,49,7,buy,4488.99,4480.80,556.92,-286.47,-0.514,sl 4484.89,0.532
2026.06.04 03:16,1217,50,1,sell,4451.48,4459.06,545.76,-280.25,-0.514,sl 4455.27,0.965
2026.06.10 03:20,999,49,5,buy,4227.82,4221.41,538.44,-579.53,-1.076,sl 4221.41,0.856
2026.06.11 03:17,2349,52,2,buy,4059.76,4047.66,520.30,1316.79,2.531,tp 4090.01,0.691
2026.06.15 03:17,765,54,2,buy,4303.66,4297.01,558.60,-309.98,-0.555,sl 4300.33,0.868
2026.06.16 03:17,499,49,2,sell,4312.83,4315.61,550.44,-287.18,-0.522,sl 4314.22,0.940
2026.06.17 03:17,1148,52,2,buy,4341.29,4334.13,544.16,-560.94,-1.031,sl 4334.13,0.791
2026.06.18 03:22,2262,49,7,buy,4300.50,4287.73,536.34,746.75,1.392,,0.922
