entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2024.02.05 02:19,346,20,4,sell,2036.28,2038.06,250.0,-130.5,-0.522,sl 2037.17,0.636
2024.04.08 03:16,374,19,1,sell,2307.26,2310.10,246.74,-127.07,-0.515,sl 2308.68,1.000
2024.06.10 03:17,363,21,2,sell,2295.38,2297.93,243.56,-125.43,-0.515,sl 2296.66,0.904
2024.06.17 03:17,342,29,2,sell,2325.33,2327.18,240.42,-244.75,-1.018,sl 2327.18,0.678
2024.08.05 03:17,1077,24,2,sell,2426.00,2435.64,234.31,-118.79,-0.507,sl 2430.82,0.519
2024.08.06 03:20,526,18,5,buy,2410.35,2407.21,231.34,462.44,1.999,tp 2416.63,0.941
2024.12.09 02:25,597,27,10,sell,2633.86,2637.05,242.9,-124.61,-0.513,sl 2635.46,0.595
2025.02.17 02:22,849,26,7,buy,2888.06,2883.40,239.78,-264.96,-1.105,sl 2883.40,0.767
2025.02.26 02:16,596,29,1,buy,2926.15,2921.51,233.16,-121.24,-0.520,sl 2923.83,0.978
2025.04.03 03:18,1553,25,3,sell,3148.96,3157.04,230.13,-116.67,-0.507,sl 3153.00,0.927
2025.04.08 03:24,669,27,9,buy,2988.02,2983.70,227.21,-116.33,-0.512,sl 2985.86,0.729
2025.04.10 03:20,708,31,5,buy,3089.92,3084.66,224.3,446.81,1.992,tp 3100.44,0.811
2025.04.23 03:17,834,27,2,buy,3344.14,3338.83,235.47,-238.06,-1.011,sl 3338.83,1.000
2025.04.24 03:18,814,26,3,buy,3322.54,3317.43,229.52,459.27,2.001,tp 3332.76,0.999
2025.05.07 03:17,998,24,2,sell,3390.19,3396.41,241.0,481.28,1.997,tp 3377.75,0.916
2025.05.08 03:16,481,31,1,buy,3379.45,3376.20,253.03,504.04,1.992,tp 3385.95,0.971
2025.05.14 03:20,1075,29,5,sell,3243.03,3249.15,265.64,-269.35,-1.014,sl 3249.15,0.871
2025.05.19 03:18,1432,32,3,buy,3249.97,3240.62,258.9,-260.97,-1.008,sl 3240.62,0.838
2025.05.21 03:28,738,26,13,buy,3296.77,3292.60,252.38,505.51,2.003,tp 3305.11,0.760
2025.05.26 03:16,1081,32,1,sell,3334.48,3340.69,265.02,-269.52,-1.017,sl 3340.69,0.850
2025.06.03 03:18,821,27,3,sell,3379.79,3384.48,258.28,515.52,1.996,tp 3370.41,0.800
2025.06.09 03:16,775,33,1,sell,3309.01,3314.68,271.17,-139.11,-0.513,sl 3311.85,0.879
2025.06.11 03:17,536,34,2,buy,3331.43,3327.61,267.69,75.22,0.281,,0.629
2025.06.12 03:28,496,32,13,buy,3369.12,3364.62,269.57,-279.54,-1.037,sl 3364.62,0.575
2025.06.16 03:18,875,29,3,buy,3446.86,3441.44,262.58,-134.7,-0.513,sl 3444.15,0.957
2025.06.18 03:17,548,30,2,sell,3383.07,3386.04,259.21,-263.36,-1.016,sl 3386.04,0.932
2025.06.23 03:19,680,30,4,sell,3366.05,3370.06,252.63,-130.36,-0.516,sl 3368.06,0.778
2025.06.24 03:17,1194,27,2,buy,3346.01,3339.05,249.37,-127.18,-0.510,sl 3342.53,0.986
2025.06.30 03:19,522,25,4,buy,3268.83,3265.62,246.19,-249.64,-1.014,sl 3265.62,0.952
2025.07.23 03:16,680,32,1,buy,3434.39,3430.50,239.95,-122.61,-0.511,sl 3432.45,0.825
2025.07.29 03:24,679,30,9,sell,3308.93,3312.35,236.88,-240.67,-1.016,sl 3312.35,0.705
2025.08.04 03:18,619,24,3,sell,3355.70,3359.13,230.87,458.5,1.986,tp 3348.84,0.976
2025.08.07 03:17,545,32,2,buy,3371.33,3367.92,242.33,481.27,1.986,tp 3378.15,0.848
2025.08.13 03:19,470,25,4,sell,3345.04,3348.33,254.36,-132.01,-0.519,sl 3346.69,0.634
2025.08.14 03:16,579,29,1,buy,3368.84,3365.58,251.06,-129.04,-0.514,sl 3367.21,0.900
2025.08.18 03:17,832,27,2,buy,3335.46,3330.87,247.83,493.19,1.990,tp 3344.64,0.977
2025.08.19 03:16,1168,31,1,buy,3338.45,3331.84,260.16,-262.51,-1.009,sl 3331.84,0.867
2025.08.26 03:16,1957,32,1,buy,3372.76,3361.03,253.6,87.49,0.345,,0.905
2025.09.10 03:18,522,27,3,sell,3628.73,3631.72,255.79,-132.75,-0.519,sl 3630.23,0.751
2025.09.15 03:16,697,30,1,buy,3642.73,3638.16,252.47,-256.26,-1.015,sl 3638.16,0.938
2025.09.25 03:16,862,32,1,buy,3750.38,3745.60,246.06,-250.25,-1.017,sl 3745.60,0.993
2025.09.29 03:21,1065,22,6,buy,3775.20,3769.22,239.81,477.46,1.991,tp 3787.16,0.945
2025.10.02 03:21,612,17,6,sell,3857.32,3860.62,251.74,-257.28,-1.022,sl 3860.62,0.868
2025.10.06 03:25,917,27,10,sell,3900.27,3904.92,245.31,-248.75,-1.014,sl 3904.92,0.551
2025.10.07 03:20,579,24,5,buy,3973.51,3969.52,239.09,-122.65,-0.513,sl 3971.52,0.765
2025.10.09 03:18,1022,17,3,buy,4019.30,4013.79,236.03,-123.21,-0.522,sl 4016.55,0.946
2025.10.13 03:27,1090,22,12,buy,4037.86,4030.64,232.95,464.96,1.996,tp 4052.30,0.616
2025.10.16 03:17,1081,19,2,buy,4216.06,4210.21,244.57,-126.93,-0.519,sl 4213.14,0.943
2025.10.20 03:19,1820,30,4,sell,4223.74,4233.53,241.4,-243.81,-1.010,sl 4233.53,0.958
2025.10.23 03:20,1323,30,5,sell,4081.57,4090.10,235.3,-119.3,-0.507,sl 4085.84,0.823
2025.10.28 03:17,1327,32,2,sell,3985.19,3992.05,232.32,-122.2,-0.526,sl 3988.62,0.927
2025.11.03 02:17,2025,28,2,sell,3965.22,3977.51,229.26,-230.41,-1.005,sl 3977.51,0.951
2025.11.17 02:28,1401,29,13,sell,4082.22,4091.28,223.5,-226.41,-1.013,sl 4091.28,0.944
2025.11.25 02:16,808,22,1,sell,4135.99,4140.24,217.84,-222.42,-1.021,sl 4140.24,0.985
2025.11.26 02:25,734,22,10,buy,4141.59,4136.31,212.28,-214.62,-1.011,sl 4136.31,0.831
2025.12.04 02:23,592,23,8,buy,4210.68,4207.37,206.92,-107.39,-0.519,sl 4209.03,0.546
2025.12.11 02:22,1205,24,7,buy,4243.75,4237.32,204.23,-206.68,-1.012,sl 4237.32,0.963
2025.12.16 02:30,620,23,15,buy,4310.00,4305.83,199.07,-104.51,-0.525,sl 4307.92,0.744
2025.12.23 02:16,855,23,1,buy,4467.69,4462.32,196.45,391.73,1.994,tp 4478.43,0.964
2025.12.24 02:30,1197,23,15,buy,4513.94,4506.69,206.25,-104.77,-0.508,sl 4510.32,0.588
2025.12.30 02:16,952,30,1,buy,4348.81,4342.75,203.63,-206.07,-1.012,sl 4342.75,0.925
2026.01.05 02:18,957,32,3,buy,4380.36,4374.95,198.48,404.29,2.037,tp 4391.18,0.819
2026.01.12 02:17,1797,36,2,buy,4556.79,4545.29,208.58,419.25,2.010,tp 4579.79,0.962
2026.01.13 02:23,739,35,8,sell,4591.84,4595.67,219.06,446.01,2.036,tp 4584.18,0.873
2026.01.14 02:27,1078,35,12,buy,4609.56,4602.28,230.21,302.73,1.315,,0.766
2026.01.19 02:17,1083,30,2,sell,4664.67,4670.52,237.78,-244.44,-1.028,sl 4670.52,0.969
2026.01.21 02:28,692,36,13,buy,4779.53,4774.14,231.67,461.26,1.991,tp 4790.31,0.840
2026.02.02 02:16,10523,49,1,buy,4854.88,4793.34,243.2,-246.61,-1.014,sl 4793.34,0.996
2026.02.03 02:16,3021,63,1,buy,4797.87,4781.06,237.04,-128.24,-0.541,sl 4789.47,0.691
2026.02.04 02:16,4125,63,1,buy,4988.66,4966.86,233.83,466.96,1.997,tp 5032.26,0.980
2026.02.11 02:17,1364,60,2,sell,5029.29,5037.54,245.51,-253.85,-1.034,sl 5037.54,0.756
2026.02.17 02:26,1569,46,11,sell,4974.18,4983.33,239.16,528.06,2.208,tp 4955.88,0.765
2026.02.18 02:25,1112,35,10,buy,4870.27,4863.82,252.36,502.96,1.993,tp 4883.17,0.531
2026.02.23 02:20,3396,43,5,sell,5131.23,5149.53,264.94,-269.97,-1.019,sl 5149.53,0.828
2026.02.24 02:22,1728,52,7,buy,5237.49,5226.88,258.19,-261.54,-1.013,sl 5226.88,0.666
2026.02.26 02:16,1386,58,1,buy,5171.22,5162.25,251.65,501.28,1.992,tp 5189.16,0.870
2026.03.02 02:19,2347,96,4,sell,5360.62,5375.84,264.18,-133.67,-0.506,sl 5368.23,0.502
2026.03.03 02:17,1255,97,2,buy,5352.78,5342.90,260.84,-158.07,-0.606,sl 5347.84,0.916
2026.03.05 02:17,1330,63,2,buy,5173.24,5165.87,256.89,-133.32,-0.519,sl 5169.56,0.881
2026.03.11 03:19,1143,68,4,buy,5202.93,5192.32,253.55,305.78,1.206,,0.514
2026.03.12 03:16,1654,66,1,buy,5143.61,5133.73,261.2,523.44,2.004,tp 5163.37,0.791
2026.03.17 03:28,1182,68,13,sell,5001.30,5008.01,274.28,-142.63,-0.520,sl 5004.66,0.643
2026.03.23 03:16,4787,68,1,sell,4415.17,4449.12,270.72,543.33,2.007,tp 4347.27,0.767
2026.03.24 03:16,2596,68,1,sell,4418.43,4433.34,284.3,570.59,2.007,tp 4388.61,0.939
2026.03.25 03:28,1752,64,13,buy,4557.19,4545.99,298.57,595.34,1.994,tp 4579.59,0.740
2026.03.26 03:16,2961,68,1,buy,4528.83,4512.79,313.45,39.49,0.126,,0.996
2026.03.31 03:16,1758,68,1,sell,4510.07,4519.22,314.44,759.68,2.416,tp 4491.77,0.688
2026.04.01 03:16,1157,64,1,buy,4705.60,4699.10,333.43,684.53,2.053,tp 4718.60,0.862
2026.04.02 03:16,1819,58,1,buy,4794.97,4784.09,350.54,-356.5,-1.017,sl 4784.09,0.959
2026.04.06 03:16,1890,56,1,buy,4628.89,4616.87,341.63,-359.39,-1.052,sl 4616.87,0.977
2026.04.08 03:21,2684,59,6,sell,4828.16,4843.80,332.64,664.96,1.999,tp 4796.88,0.830
2026.04.13 03:16,856,60,1,buy,4675.19,4668.80,349.27,697.14,1.996,tp 4687.97,0.897
2026.04.14 03:16,889,60,1,buy,4763.62,4755.88,366.7,-196.55,-0.536,sl 4759.75,0.911
2026.04.15 03:18,831,60,3,sell,4829.40,4835.67,361.78,-365.76,-1.011,sl 4835.67,0.733
2026.04.20 03:16,1047,61,1,buy,4756.39,4749.79,352.64,773.69,2.194,tp 4769.59,0.710
2026.04.23 03:16,2961,62,1,sell,4696.08,4713.23,371.98,-373.47,-1.004,sl 4713.23,0.977
2026.04.27 03:29,896,55,14,buy,4682.37,4676.48,362.64,734.72,2.026,tp 4694.15,0.862
2026.05.11 03:17,1111,55,2,sell,4679.70,4685.86,381.01,-197.75,-0.519,sl 4682.78,0.803
2026.05.12 03:18,1072,55,3,buy,4773.29,4763.77,376.07,-379.83,-1.010,sl 4763.77,0.784
