entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2024.01.02 02:22,155,12,7,sell,2063.26,2064.17,250.0,-134.25,-0.537,sl 2063.72,0.529
2024.01.03 02:24,175,9,9,buy,2061.44,2060.09,246.64,-255.52,-1.036,sl 2060.09,0.983
2024.01.08 02:16,144,11,1,buy,2045.56,2044.45,240.26,-125.17,-0.521,sl 2045.01,0.875
2024.01.09 02:19,257,8,4,buy,2033.62,2031.95,237.13,-124.73,-0.526,sl 2032.79,0.899
2024.01.11 02:16,116,20,1,buy,2027.89,2027.02,234.01,-247.11,-1.056,sl 2027.02,0.724
2024.01.15 02:25,202,9,10,buy,2048.00,2046.77,227.83,450.42,1.977,tp 2050.46,0.609
2024.01.16 02:26,82,17,11,sell,2053.02,2054.06,239.09,473.88,1.982,tp 2050.94,0.902
2024.01.17 02:17,237,11,2,sell,2025.66,2026.96,250.94,-256.46,-1.022,sl 2026.96,0.890
2024.01.22 02:21,189,11,6,sell,2026.62,2027.56,244.53,-134.73,-0.551,sl 2027.09,0.952
2024.01.24 02:25,101,9,10,sell,2027.73,2028.82,241.16,-132.4,-0.549,sl 2028.28,1.000
2024.01.30 02:20,92,7,5,buy,2032.30,2031.33,237.85,-132.01,-0.555,sl 2031.82,0.609
2024.01.31 02:18,161,8,3,buy,2038.10,2037.21,234.55,-128.77,-0.549,sl 2037.66,0.907
2024.02.01 02:26,114,16,11,buy,2040.65,2039.76,231.33,455.26,1.968,tp 2042.43,0.570
2024.02.05 02:19,346,20,4,sell,2036.28,2038.06,242.71,-126.69,-0.522,sl 2037.17,0.636
2024.02.08 02:21,100,7,6,buy,2037.64,2036.79,239.54,-129.11,-0.539,sl 2037.22,0.530
2024.02.14 02:20,70,7,5,buy,1992.05,1991.12,236.31,-131.63,-0.557,sl 1991.59,0.700
2024.02.19 02:18,276,29,3,buy,2016.90,2015.13,233.02,464.88,1.995,tp 2020.44,1.000
2024.02.20 02:24,122,12,9,sell,2015.04,2015.85,244.65,-259.33,-1.060,sl 2015.85,0.959
2024.02.26 02:29,132,18,14,sell,2032.05,2033.32,238.16,-127.18,-0.534,sl 2032.69,0.500
2024.02.28 02:23,101,12,8,buy,2030.60,2029.63,234.98,-123.13,-0.524,sl 2030.12,0.505
2024.03.05 02:26,154,13,11,sell,2114.19,2115.05,231.91,-245.36,-1.058,sl 2115.05,0.500
2024.03.11 03:17,228,13,2,buy,2181.89,2180.53,225.77,446.58,1.978,tp 2184.61,0.531
2024.03.12 03:28,121,19,13,sell,2182.65,2183.89,236.94,469.84,1.983,tp 2180.17,0.727
2024.03.14 03:17,167,12,2,sell,2174.17,2175.04,248.68,-257.39,-1.035,sl 2175.04,0.874
2024.03.20 03:25,87,12,10,sell,2155.86,2156.78,242.25,-139.53,-0.576,sl 2156.32,1.000
2024.03.25 03:16,240,13,1,sell,2166.96,2168.20,238.76,481.34,2.016,tp 2164.48,0.762
2024.03.27 03:16,160,12,1,sell,2178.47,2179.41,250.79,-136.18,-0.543,sl 2178.94,0.950
2024.04.08 03:16,374,19,1,sell,2307.26,2310.10,247.39,-127.4,-0.515,sl 2308.68,1.000
2024.04.10 03:17,228,12,2,sell,2353.19,2354.43,244.2,485.96,1.990,tp 2350.71,0.820
2024.04.16 03:18,173,19,3,buy,2382.38,2381.03,256.35,508.35,1.983,tp 2385.08,0.636
2024.04.23 03:16,188,22,1,sell,2331.79,2332.84,269.06,-292.74,-1.088,sl 2332.84,0.973
2024.04.25 03:18,223,17,3,buy,2318.18,2316.58,261.74,-266.98,-1.020,sl 2316.58,0.673
2024.05.02 03:26,193,21,11,sell,2323.53,2324.55,255.07,-263.23,-1.032,sl 2324.55,0.627
2024.05.06 03:16,202,22,1,sell,2292.56,2294.29,248.49,-254.45,-1.024,sl 2294.29,0.589
2024.05.07 03:17,151,14,2,buy,2328.07,2326.29,242.13,-252.05,-1.041,sl 2326.29,0.735
2024.05.08 03:27,144,22,12,sell,2314.42,2315.54,235.82,-246.91,-1.047,sl 2315.54,0.500
2024.05.13 03:16,206,15,1,buy,2362.54,2360.85,229.65,-118.73,-0.517,sl 2361.70,0.942
2024.05.14 03:17,130,15,2,buy,2339.44,2338.38,226.68,-235.75,-1.040,sl 2338.38,0.915
2024.05.16 03:21,271,20,6,buy,2393.84,2391.63,220.79,-114.15,-0.517,sl 2392.74,0.849
2024.05.21 03:17,193,19,2,buy,2427.30,2426.12,217.94,-227.96,-1.046,sl 2426.12,0.544
2024.05.28 03:22,143,20,7,buy,2353.45,2352.40,212.24,-220.94,-1.041,sl 2352.40,0.678
