entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2024.01.09 08:41,312,12,11,buy,2034.17,2031.89,250.80,-253.93,-1.012,sl 2031.89,0.747
2024.01.11 08:36,320,7,6,buy,2035.10,2033.41,243.36,-247.46,-1.017,sl 2033.41,0.831
2024.01.15 08:34,244,7,4,buy,2056.59,2055.08,237.07,-243.16,-1.026,sl 2055.08,0.967
2024.01.19 08:41,305,10,11,buy,2023.66,2021.95,230.85,688.72,2.983,tp 2028.79,0.928
2024.01.24 08:36,270,15,6,buy,2026.44,2024.82,247.86,739.23,2.982,tp 2031.30,0.952
2024.01.25 08:36,175,7,6,buy,2016.55,2015.34,267.41,-278.07,-1.040,sl 2015.34,0.503
2024.01.29 08:42,310,7,12,buy,2027.97,2026.21,260.48,777.23,2.984,tp 2033.25,0.887
2024.02.12 08:35,124,13,5,buy,2024.61,2023.79,214.84,-222.26,-1.035,sl 2023.79,0.952
2024.02.13 08:32,231,13,2,buy,2022.34,2020.98,273.36,814.38,2.979,tp 2026.42,0.775
2024.02.19 08:37,213,7,7,buy,2021.81,2020.67,294.12,-304.00,-1.034,sl 2020.67,0.958
2024.02.20 08:31,182,7,1,buy,2019.95,2018.62,287.28,855.73,2.979,tp 2023.94,0.967
2024.02.22 08:35,194,7,5,buy,2030.30,2029.16,307.80,-318.18,-1.034,sl 2029.16,0.856
2024.02.27 08:32,117,12,2,buy,2034.21,2033.42,221.20,-229.18,-1.036,sl 2033.42,0.880
2024.02.29 08:34,211,12,4,buy,2036.70,2035.44,294.84,-301.51,-1.023,sl 2035.44,0.962
2024.03.08 08:32,261,21,2,buy,2159.96,2157.75,287.30,857.96,2.986,tp 2166.59,0.923
2024.04.12 09:35,545,18,5,buy,2390.58,2387.33,308.75,923.06,2.990,tp 2400.33,0.519
2024.04.25 09:40,426,14,10,buy,2321.02,2318.58,331.84,991.09,2.987,tp 2328.34,0.697
2024.04.26 09:45,722,18,15,buy,2341.50,2337.57,357.63,616.72,1.724,,0.735
2024.05.01 09:32,396,12,2,buy,2289.58,2287.28,372.60,-377.79,-1.014,sl 2287.28,0.891
2024.05.02 09:36,585,16,6,buy,2319.00,2315.53,360.88,-366.34,-1.015,sl 2315.53,0.737
2024.05.10 09:38,870,13,8,buy,2362.98,2358.22,352.24,659.85,1.873,,1.000
2024.05.17 09:34,586,9,4,buy,2385.72,2382.62,368.90,-374.06,-1.014,sl 2382.62,0.858
2024.06.11 09:32,587,16,2,buy,2303.74,2300.63,360.76,-181.22,-0.502,,0.968
2024.06.14 09:43,544,27,13,buy,2312.55,2309.44,354.54,-362.79,-1.023,sl 2309.44,0.816
2024.06.27 09:31,525,20,1,buy,2302.02,2299.13,346.80,1036.53,2.989,tp 2310.69,0.970
2024.06.28 09:32,486,20,2,buy,2327.93,2325.23,372.60,-378.48,-1.016,sl 2325.23,0.986
2024.07.01 09:35,909,18,5,buy,2328.35,2323.04,361.08,-363.30,-1.006,sl 2323.04,0.967
2024.07.03 09:44,406,22,14,buy,2337.00,2334.00,354.00,1060.49,2.996,tp 2346.00,0.825
2024.07.18 09:31,493,22,1,buy,2470.12,2467.11,379.26,-387.40,-1.021,sl 2467.11,0.911
2024.07.31 09:34,733,16,4,buy,2424.57,2420.19,372.30,-376.03,-1.010,sl 2420.19,0.992
2024.08.12 09:37,688,18,7,buy,2436.39,2432.53,362.84,523.19,1.442,,0.751
2024.08.14 09:31,702,22,1,buy,2466.53,2462.72,373.38,1117.73,2.994,tp 2477.96,0.999
2024.08.19 09:41,499,16,11,buy,2504.94,2502.16,403.10,-408.18,-1.013,sl 2502.16,0.918
2024.08.26 09:32,466,22,2,buy,2514.20,2511.43,393.34,1175.01,2.987,tp 2522.51,0.998
2024.09.11 09:38,636,22,8,buy,2526.44,2522.95,422.29,-427.78,-1.013,sl 2522.95,0.799
2024.09.17 09:32,956,20,2,buy,2585.76,2580.62,411.20,-414.10,-1.007,sl 2580.62,0.976
