entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2026.01.05 15:49,1791,25,4,buy,4414.66,4405.18,246.48,495.77,2.011,tp 4433.62,0.891
2026.01.06 15:46,646,26,1,buy,4463.38,4458.98,264.00,-279.74,-1.060,sl 4458.98,0.837
2026.01.07 15:57,1254,31,12,buy,4452.71,4444.34,259.47,-266.67,-1.028,sl 4444.34,0.580
2026.01.08 15:55,978,31,10,sell,4424.91,4430.72,249.83,-129.94,-0.520,sl 4427.82,0.241
2026.01.12 15:50,837,28,5,buy,4614.59,4609.03,244.64,-127.36,-0.521,sl 4611.81,0.496
2026.01.15 15:46,1738,31,1,sell,4586.43,4596.87,240.12,-241.83,-1.007,sl 4596.87,0.898
2026.01.19 15:54,727,29,9,sell,4665.98,4670.06,236.64,-126.75,-0.536,sl 4668.02,0.740
2026.01.20 15:51,1496,26,6,buy,4731.50,4722.83,234.09,466.66,1.994,tp 4748.84,0.963
2026.01.21 15:56,1178,27,11,buy,4879.31,4873.08,242.97,-259.28,-1.067,sl 4873.08,0.851
2026.01.26 15:53,1875,32,8,buy,5074.31,5063.83,241.04,-250.50,-1.039,sl 5063.83,0.887
2026.01.28 15:46,2623,34,1,sell,5256.89,5272.19,229.50,-116.00,-0.505,sl 5264.54,0.912
2026.02.03 15:46,1321,39,1,buy,4945.44,4935.29,233.45,-118.44,-0.507,sl 4940.37,0.975
2026.02.04 15:55,2567,45,10,buy,5061.84,5045.90,223.16,-227.65,-1.020,sl 5045.90,0.142
2026.02.12 15:47,1617,36,2,buy,5079.27,5069.00,215.67,-218.43,-1.013,sl 5069.00,0.899
2026.02.16 15:48,598,42,3,sell,4989.64,4995.56,213.12,-231.48,-1.086,sl 4995.56,0.570
2026.02.17 15:57,1474,40,12,sell,4897.65,4915.10,209.40,436.70,2.085,tp 4862.75,0.060
2026.02.18 15:46,1683,39,1,sell,4951.81,4960.62,220.25,-223.99,-1.017,sl 4960.62,0.777
2026.02.19 15:57,2446,40,12,buy,4997.97,4984.82,210.40,-214.56,-1.020,sl 4984.82,0.857
2026.02.23 15:59,670,40,14,sell,5146.58,5150.61,209.56,-110.86,-0.529,sl 5148.60,0.143
2026.02.24 15:49,2526,48,4,sell,5131.29,5145.87,204.12,456.80,2.238,tp 5102.13,0.513
2026.03.02 15:54,2432,86,9,sell,5390.02,5404.23,213.15,428.17,2.009,tp 5361.60,0.963
2026.03.03 15:46,3835,77,1,sell,5139.78,5166.48,240.30,-241.31,-1.004,sl 5166.48,0.780
2026.03.04 15:55,1105,72,10,sell,5181.78,5187.25,224.27,446.39,1.990,tp 5170.84,0.414
